date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:25	6048/6048	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/coming-soon.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/coming-soon.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:26	24659/24659	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/news.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/news.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:27	21367/21367	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/news2.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/news2.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:28	21928/21928	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:09%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/post.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/post.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:29	23415/23415	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:10%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/contact.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/contact.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:31	267125/267125	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:16%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/slider/2.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/slider/2.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:34	294799/294799	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:16%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/slider/3.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/slider/3.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:34	236600/236600	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:16%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/slider/1.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/slider/1.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:37	170760/170760	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/2.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/2.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:39	131531/131531	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:18%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/8.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/8.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:39	190383/190383	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/1.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/1.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:40	170812/170812	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/3.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/3.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:41	294799/294799	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/4.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/4.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:42	42001/42001	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/pricing/1.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/pricing/1.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:43	378956/378956	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/rooms/7.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/rooms/7.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:43	28891/28891	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/pricing/2.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/pricing/2.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:10:44	26576/26576	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202024%2000:24:19%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/pricing/3.jpg	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/pricing/3.jpg	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
